,Station,LONGITUDE,LATITUDE,Depth,Protocol Label,Fraction,RUN,Region,ENA-SAMPLE,genome_name,genome_group,variable,val
46387,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__172706,MGII,n_count,1.22013779674
46388,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|326782732|ref|NC_015283.1| Prochlorococcus phage P-RSM4, complete genome",Cyanophage,n_count,0.105821062737
46389,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2620879_23,MGII_virus,n_count,0.11728604439
46390,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000001.1 SAR116 cluster alpha proteobacterium HIMB100 contig1, whole genome shotgun sequence",SAR116,n_count,0.0175098790224
46391,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000009.1 SAR116 cluster alpha proteobacterium HIMB100 contig9, whole genome shotgun sequence",SAR116,n_count,0.00269267662356
46392,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822987|dbj|BBBE01000022.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00022, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46393,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__344836,MGII,n_count,0.699455116824
46394,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|372217655|ref|NC_016656.1| Cyanophage P-SSP2, complete genome",Cyanophage,n_count,0.0712352350913
46395,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932823000|dbj|BBBE01000009.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00009, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46396,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__156581,MGII,n_count,5.02682367575
46397,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|294083570|ref|NC_014010.1| Candidatus Puniceispirillum marinum IMCC1322, complete genome",SAR116,n_count,0.11266820032
46398,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|255928922|ref|NC_013085.1| Synechococcus phage S-RSM4, complete genome",Cyanophage,n_count,0.0248828502593
46399,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|331028007|ref|NC_015465.1| Synechococcus phage S-CBS3, complete genome",Cyanophage,n_count,0.0
46400,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|663515939|gb|KF900769.1| Uncultured marine group II/III euryarchaeote KM3_192_B10 genomic sequence,MGII,n_count,0.0288837357646
46401,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__172037,MGII_virus,n_count,0.0011582670246
46402,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2619888_3130 /station=TARA_034 /depth=5 /filter=0.1-0.22,Cyanophage,n_count,0.00679216671603
46403,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822993|dbj|BBBE01000016.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00016, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46404,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2619962_2313 /station=TARA_036 /depth=17 /filter=0-0.22,Cyanophage,n_count,0.0
46406,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|663530238|gb|KF901159.1| Uncultured marine group II/III euryarchaeote KM3_88_H06 genomic sequence,MGII,n_count,0.0512347356211
46407,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|58532811|ref|NC_006820.1| Synechococcus phage S-PM2, complete genome",Cyanophage,n_count,0.0144901921248
46408,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|509140683|ref|NC_021330.1| Halovirus HCTV-1, complete genome",Halovirus,n_count,0.0
46409,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|971760222|ref|NC_028955.1| Prochlorococcus phage P-TIM68, complete genome",Cyanophage,n_count,0.105838842093
46410,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932823002|dbj|BBBE01000007.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00007, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46411,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822982|dbj|BBBE01000027.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00027, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46412,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822973|dbj|BBBE01000036.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00036, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46413,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__167199,MGII,n_count,0.00507873355135
46414,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__158556,MGII,n_count,0.780533639266
46415,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|78211558|ref|NC_007516.1| Synechococcus sp. CC9605, complete genome",Synechococcus,n_count,5.88339459
46417,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2620812_6831 /station=TARA_064 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.0214997161908
46418,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932823006|dbj|BBBE01000003.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00003, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46419,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__154680,MGII_virus,n_count,0.176811539029
46420,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822984|dbj|BBBE01000025.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00025, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46421,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__152276,MGII,n_count,0.808059527893
46422,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822986|dbj|BBBE01000023.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00023, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46423,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__418747,MGII,n_count,0.707492354592
46424,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|663526170|gb|KF901053.1| Uncultured marine group II/III euryarchaeote KM3_74_A11 genomic sequence,MGII,n_count,0.0652127783195
46425,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|356870794|ref|NC_016164.1| Synechococcus phage S-CBS1, complete genome",Cyanophage,n_count,0.0
46426,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__412943,MGII,n_count,0.566017850311
46427,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__155828,MGII,n_count,0.779361957876
46428,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__389883,MGII,n_count,1.37862542518
46429,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__390204,MGII,n_count,5.58892599422
46430,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2620014_177 /station=TARA_038 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.034545207101
46431,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|757142838|ref|NZ_AUMX01000001.1| [strain=DSM 4179], whole genome shotgun sequence",Euryarchaeota,n_count,3.63883277188e-05
46432,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__159728,MGII,n_count,0.975107124894
46433,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|902974237|ref|NZ_LN847356.1| Synechococcus sp. WH 8103 genome assembly WH8103.1, chromosome : 1",Synechococcus,n_count,1.11970712135
46434,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|326781756|ref|NC_015279.1| Synechococcus phage S-SM2, complete genome",Cyanophage,n_count,0.122412456458
46436,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|124024712|ref|NC_008819.1| Prochlorococcus marinus_NATL1A, complete genome",Prochlorococcus,n_count,0.488951792213
46437,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822970|dbj|BBBE01000039.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00039, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46438,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000003.1 SAR116 cluster alpha proteobacterium HIMB100 contig3, whole genome shotgun sequence",SAR116,n_count,0.0
46439,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822975|dbj|BBBE01000034.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00034, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46440,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2621151_104,MGII_virus,n_count,0.00383618691162
46441,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__152209,MGII,n_count,1.09508425186
46442,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|418487144|ref|NC_019443.1| Synechococcus phage metaG-MbCM1, complete genome",Cyanophage,n_count,0.0683321343759
46443,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|148238336|ref|NC_009481.1| Synechococcus WH7803 complete genome sequence,Synechococcus,n_count,0.377228849574
46444,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2619903_3744 /station=TARA_034 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.0276996963285
46445,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|509141110|ref|NC_021335.1| Halovirus HRTV-7, complete genome",Halovirus,n_count,0.0
46447,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__157638,MGII,n_count,0.953719300888
46449,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822974|dbj|BBBE01000035.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00035, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46450,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|388483859|ref|NC_006882.2| Prochlorococcus phage P-SSP7, complete genome",Cyanophage,n_count,0.213164821365
46453,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,Z1,Group_D,n_count,0.00192431392376
46454,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822997|dbj|BBBE01000012.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00012, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46455,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|343459436|gb|CP002838.1| Pyrolobus fumarii 1A, complete genome",Crenarchaeota,n_count,0.00910425679484
46456,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2622694_4896 /station=TARA_122 /depth=115 /filter=0.1-0.22,Cyanophage,n_count,0.0129322424232
46457,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822983|dbj|BBBE01000026.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00026, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46458,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__175248,MGII,n_count,0.442771381206
46459,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__2314329,MGII,n_count,0.0586716815935
46460,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,Eury_contig__182440,MGII,n_count,0.106050663837
46461,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2621061_122,MGII_virus,n_count,0.0077468165537
46462,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|482770381|gb|ARPJ01000001.1| Marine group II euryarchaeote SCGC AAA288-C18 A288C18DRAFT_2505694915.1_C, whole genome shotgun sequence",MGII,n_count,0.128281449914
46463,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|326783979|ref|NC_015288.1| Prochlorococcus phage Syn1, complete genome",Cyanophage,n_count,0.0213566297524
46464,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__156040,MGII,n_count,1.01397682098
46465,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822977|dbj|BBBE01000032.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00032, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46466,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__367509,MGII,n_count,0.611240235044
46467,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822980|dbj|BBBE01000029.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00029, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46468,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2620094_1815 /station=TARA_039 /depth=25 /filter=0-0.22,Cyanophage,n_count,0.0684873769083
46469,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__1205742,MGII,n_count,0.0346355092088
46470,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932823008|dbj|BBBE01000001.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00001, whole genome shotgun sequence",Euryarchaeota,n_count,0.000152192535308
46471,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__155937,MGII,n_count,0.141268937107
46472,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__402223,MGII,n_count,1.06959328116
46473,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__158356,MGII,n_count,0.514550611035
46474,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|564614004|ref|NZ_AZAL01000001.1| Candidatus Pelagibacter ubique HIMB083 Pelub83DRAFT_scaffold_0.1_C, whole genome shotgun sequence",SAR11,n_count,31.4622343214
46475,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|460042257|ref|NC_020481.1| Pelagibacter phage HTVC010P, complete genome",SAR11_Phage,n_count,0.218832371773
46476,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|162958048|ref|NC_007335.2| Prochlorococcus marinus_NATL2A, complete genome",Prochlorococcus,n_count,2.62114712482
46477,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|851114167|ref|NZ_LN515531.1| Methanobacterium formicicum genome assembly DSM1535, chromosome : chrI",Euryarchaeota,n_count,0.00646247278369
46478,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822985|dbj|BBBE01000024.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00024, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46479,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|148724443|ref|NC_009531.1| Cyanophage Syn5, complete genome",Cyanophage,n_count,0.00102145580725
46480,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000005.1 SAR116 cluster alpha proteobacterium HIMB100 contig5, whole genome shotgun sequence",SAR116,n_count,0.179372908397
46481,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|472340512|ref|NC_020847.1| Cyanophage MED4-184 genomic sequence,Cyanophage,n_count,0.00215539248268
46482,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__154566,MGII_virus,n_count,0.0304116461328
46483,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932823003|dbj|BBBE01000006.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00006, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46484,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__402642,MGII,n_count,0.238244016794
46486,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__172640,MGII,n_count,0.0272178922293
46487,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2619686_1031 /station=TARA_018 /depth=60 /filter=0-0.22,Cyanophage,n_count,0.134551785693
46488,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2621085_65,MGII_virus,n_count,0.00436913911035
46489,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822981|dbj|BBBE01000028.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00028, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46490,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|288892655|gb|CP001899.1| Ferroglobus placidus DSM 10642, complete genome",Euryarchaeota,n_count,0.00941954940337
46491,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|511534117|ref|NC_021471.1| Halovirus HSTV-1, complete genome",Halovirus,n_count,0.0
46492,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__154676,MGII_virus,n_count,0.0127435321866
46493,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822992|dbj|BBBE01000017.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00017, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46494,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2620078_1066 /station=TARA_039 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.0367950207933
46495,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|157412338|ref|NC_009840.1| Prochlorococcus marinus_MIT 9215, complete genome",Prochlorococcus,n_count,9.08531014301
46496,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932823004|dbj|BBBE01000005.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00005, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46497,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822972|dbj|BBBE01000037.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00037, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46498,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|294083570:675264-676151 Candidatus Puniceispirillum marinum IMCC1322, complete genome",SAR116,n_count,0.0
46499,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|472341521|ref|NC_020855.1| Cyanophage P-RSM6 genomic sequence,Cyanophage,n_count,0.060939034536
46500,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|159887716|gb|CP000878.1| Prochlorococcus marinus_MIT 9211 genome,Prochlorococcus,n_count,0.211716957076
46501,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,gi|33864539|ref|NC_005070.1| Synechococcus sp. WH 8102 complete genome,Synechococcus,n_count,1.47824957769
46502,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__160241,MGII,n_count,0.675186802557
46503,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__156257,MGII,n_count,0.0402915599477
46504,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822971|dbj|BBBE01000038.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00038, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46505,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__156856,MGII,n_count,0.0582123707304
46506,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|265525079|gb|GU071092.1| Prochlorococcus phage P-SSM2, complete genome",Cyanophage,n_count,0.144941732893
46507,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|460042324|ref|NC_020482.1| Pelagibacter phage HTVC011P, complete genome",SAR11_Phage,n_count,0.0159634037757
46508,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|932822979|dbj|BBBE01000030.1| Thermococcus peptonophilus JCM 9653 DNA, contig: JCM9653.contig00030, whole genome shotgun sequence",Euryarchaeota,n_count,0.0
46509,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"gi|526244935|ref|NC_021864.1| Puniceispirillum phage HMO-2011, complete genome",SAR116_Phage,n_count,0.00192128553638
46510,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__158854,MGII,n_count,0.867600938341
46511,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,contig__367655,MGII,n_count,0.0434108698407
46512,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,SAMEA2620078_7852 /station=TARA_039 /depth=5 /filter=0-0.22,Cyanophage,n_count,0.111934685332
46513,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000006.1 SAR116 cluster alpha proteobacterium HIMB100 contig6, whole genome shotgun sequence",SAR116,n_count,0.0215237422258
46514,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000007.1 SAR116 cluster alpha proteobacterium HIMB100 contig7, whole genome shotgun sequence",SAR116,n_count,0.0833917849706
46515,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000008.1 SAR116 cluster alpha proteobacterium HIMB100 contig8, whole genome shotgun sequence",SAR116,n_count,0.00826943239771
46516,TARA_146,,,5.0,BACT_NUC-DNA(100L)_W0.22-3,BACT,ERR598968,NAO,ERS494236,"NZ_AFXB01000004.1 SAR116 cluster alpha proteobacterium HIMB100 contig4, whole genome shotgun sequence",SAR116,n_count,0.0192396359642
48316,TARA_151,,,5.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598976,NAO,ERS494518,SAMEA2619888_5466 /station=TARA_034 /depth=5 /filter=0.1-0.22,Cyanophage,n_count,0.116125734168
48317,TARA_151,,,5.0,BACT_NUC-RNA(10L-or-10min)_W0.22-3,BACT,ERR598976,NAO,ERS494518,contig__172706,MGII,n_count,0.698159253956
